"Geography","Date","Weekly COVID-19 Hospital Admissions"
"Oklahoma",2020-04-11,"N/A"
"Oklahoma",2020-04-04,"N/A"
"Oklahoma",2020-03-28,"N/A"
"Oklahoma",2020-03-21,"N/A"
"Oklahoma",2020-03-14,"N/A"
"Oklahoma",2020-03-07,"N/A"
"Oklahoma",2020-02-29,"N/A"
"Oklahoma",2020-02-22,"N/A"
"Oklahoma",2020-02-15,"N/A"
"Oklahoma",2020-02-08,"N/A"
"Oklahoma",2020-02-01,"N/A"
"Oklahoma",2020-01-25,"N/A"
"Oklahoma",2020-01-18,"N/A"
"Oklahoma",2020-01-11,"N/A"
