"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location"
"0-17",1,-15.062502027802,0.174050046195778,0.00572650933725213,-0.000188814705155431,0.000292284842403372,-0.000282993265277687,0.000313408066937517,-0.000237057226566371,0.000142860418355339,-6.43715624821568e-05,1.26962688023842e-05,1.09536297804619e-05,1.42051025633059e-05,6.01940245510753e-05,-0.000260672430128417,0.000346365226635268,-0.000217479539390723,6.62996295168058e-05,-6.37187527182889e-06,1.45557744729551e-06,-2.18302787571319e-05,5.68902623850855e-06,4.01255970073757e-05,-2.93619500258195e-05,4.76929873859256e-06,-1.43114955143116e-05,5.27868683747525e-06,9.24399881300223e-05,-0.000162500609864407,9.33090920082824e-05,-1.72573871831107e-05,6.85198207019392e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,580,604.166666666667,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.08288446990441,0.201438160961942,-0.00576551785390402,4.60362458449491e-05,-7.89031173880683e-06,-0.000101481304824921,6.60548077020272e-05,2.53632554927939e-05,-3.33972358277533e-05,7.81013053253752e-07,6.34201329076991e-06,-5.49058815765629e-06,1.38809250150315e-06,1.99774270215991e-05,-1.99212912770811e-05,4.72997358591705e-06,-1.96183620395842e-05,5.27919263450705e-06,3.82762961633408e-05,-2.91975488782175e-05,5.85897201351991e-06,-8.84418058093293e-07,-8.66692801657512e-06,6.45985882904323e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,145,169.166666666667,217.5,241.666666666667,314.166666666667,386.666666666667,410.833333333333,435,531.666666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.86233894248265,0.276391003147928,-0.00791602016452408,6.57895819946291e-05,-1.2912587573438e-05,-0.000181596805744789,0.000194293137743304,-6.57525766522774e-05,5.03059150718188e-06,-2.7518965083261e-06,-2.58743012338797e-05,3.65278415394936e-05,-3.20265749070017e-06,-0.000119775043937553,0.000169380347082207,0.000102448136475163,-0.000354915676182323,0.000270430275841625,-9.44551271876849e-05,1.820867606583e-05,-8.71570151402416e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.84412282676987,0.210543061227468,-0.00577565514145996,6.86408968596678e-05,-3.72674587937747e-05,-0.000122911250558219,0.000237136394419352,-0.00039211424104221,0.000563894953986419,-0.000470843071441954,0.000164592884056635,-1.47418574581051e-05,4.28198493209783e-06,-6.69115418078059e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.5695691884496,0.0766824468911656,-0.0100685991462634,0.000294622710702524,-0.000627407781602433,0.000608098093902459,-0.000363163914538282,3.61077018708143e-05,0.000141697797686922,-0.000224658002017823,0.000252401442380022,-0.000137732404994684,7.10851533545939e-06,2.84994330924243e-05,3.77989888474855e-06,-9.92503890912202e-06,-0.00011167954287163,0.000207127212910187,-0.000145978178031665,4.6971769011854e-05,-2.78372572385833e-06,-5.7267079568765e-06,3.41573539063316e-06,-8.32601365527332e-07,-3.45215959047335e-05,6.91265692061257e-05,-7.88403730910962e-06,-5.58756489789548e-05,2.93072712434492e-05,-9.03899317350418e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,507.5,604.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.6195776218506,-0.39294383566105,0.0526357745017462,-0.00101287253699218,0.00133256914130903,-0.000341990023071339,1.77277354662718e-05,-5.68206192795659e-06,4.54557645735701e-06,4.78445509851705e-05,-6.22049367070038e-05,1.94980350735021e-05,2.77653590988995e-06,-4.16574280363904e-06,1.75667990416125e-05,-6.59982742232326e-06,-6.1527996835728e-05,8.21861998500703e-05,-2.86621556504886e-05,-6.52212101193176e-06,2.11027723050446e-06,3.96973153084086e-05,-6.14551634962144e-05,2.52802515669458e-05,-1.15298684717291e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,169.166666666667,193.333333333333,217.5,410.833333333333,483.333333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.6141210979774,-0.377161631241477,0.0496745038862196,-0.000941719902708782,0.00121224677851261,-0.000271702316594387,1.28518143324602e-05,-6.93006291235693e-05,7.56049285819621e-05,-4.37864612752983e-06,-1.78923526984481e-05,3.99126992897697e-06,1.01324987423208e-06,3.66227050756006e-05,-9.74990676016315e-05,7.47549741395141e-05,-2.92407479346802e-06,-2.94436602441225e-05,7.76783590401755e-06,7.96586858968338e-05,-0.000172559448002447,0.000149579333559642,-4.68222188667874e-05,2.44668785992587e-06,-4.06247324158744e-06,1.47619829712484e-06,1.94399514023549e-05,-3.42394316612095e-05,1.50920123065989e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.403302062434,-0.457699122705403,0.0516976749413064,-0.000955538115448703,0.00123779465839413,-0.000329496855815079,2.21165954451367e-05,5.21941033828686e-05,-6.7156158997776e-05,7.22696428689022e-05,-3.8268050952609e-05,-4.35740858300292e-06,1.44788838204389e-05,3.14660083686678e-05,-0.000254535315314431,0.000598413326850606,-0.000644871250271569,0.000353012554171027,-0.000109405505805611,2.53350340799781e-05,-4.09054145856227e-06,6.38694837139581e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0044575529748,0.00494260079338251,-5.29095562227672e-05,1.68829785688125e-07,-5.56660739463844e-08,5.92067231986101e-07,-3.34046647010223e-06,-2.59317920085784e-05,0.000172956279667191,-0.000274236107359291,2.91566447238242e-05,0.000264592775231966,-0.000226466747275417,7.99457338102302e-05,-4.08592704753809e-06,-3.72890662110081e-06,-7.67078430447495e-05,0.000114751212156298,-4.94752218956825e-05,5.17982457035077e-07,2.77110783013265e-06,1.24178963205348e-06,-5.45166985873287e-06,-2.01281363747319e-05,0.00013479211048711,-0.000281786817666812,0.000259419746301349,-9.53907784343898e-05,4.52372818807063e-06,-3.62485264689233e-07,2.33964189834188e-06,-5.98706026863291e-07,-3.94454665064076e-06,4.75492316493271e-06,-2.05406252482027e-07,3.48162080906527e-07,0,0,0,0,0,0,0,0,0,48.3333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,604.166666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1039.16666666667,1160,1377.5,1401.66666666667,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.992088819528,0.00672751352925471,-7.85369054690704e-05,-1.63482472454452e-07,7.06840457223907e-07,-1.30062526070882e-06,-2.44830191161213e-05,0.000122246792790382,-0.000172856037041538,2.09970816430164e-05,0.000165361028647632,-0.000200614534387494,0.000121341877670715,-2.98730759697486e-05,1.42455859722421e-06,-3.50154659871221e-06,1.62230484058787e-06,3.59286803563545e-05,-0.000113549329328706,0.000117578512311242,-4.21822960605044e-05,2.11905997105175e-06,-1.14176510980092e-05,1.22160683872785e-05,0.000110691081796342,-0.000338562186278295,0.000383063090190138,-0.000197939491918423,4.55198024340395e-05,-5.02828928873616e-06,8.97819246216712e-07,-2.6976775824698e-07,3.38941219433435e-08,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1111.66666666667,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
