date,age,rate,n,region,infected
2022-02-15,18-49,68.7250191428151,56,AL,0.687250191428151
2022-05-15,18-49,65.6767256374447,49,AL,0.687250191428151
2022-08-15,18-49,80.2724667153498,50,AL,0.687250191428151
2022-11-15,18-49,87.0256419765074,48,AL,0.687250191428151
2022-02-15,50-64,58.2392244697389,82,AL,0.582392244697389
2022-05-15,50-64,67.4302213331159,94,AL,0.582392244697389
2022-08-15,50-64,73.4725333553572,94,AL,0.582392244697389
2022-11-15,50-64,74.6868073816992,90,AL,0.582392244697389
2022-02-15,65+,45.8162705739096,43,AL,0.458162705739096
2022-05-15,65+,48.9316707677787,43,AL,0.458162705739096
2022-08-15,65+,65.0813505129511,54,AL,0.458162705739096
2022-11-15,65+,71.9580105013529,56,AL,0.458162705739096
2022-02-15,18-49,66.7094757021525,1040,AZ,0.667094757021525
2022-05-15,18-49,74.5876632158371,1170,AZ,0.667094757021525
2022-08-15,18-49,82.884649126882,1214,AZ,0.667094757021525
2022-11-15,18-49,87.5229372911521,1217,AZ,0.667094757021525
2022-02-15,50-64,54.338705161053,1114,AZ,0.54338705161053
2022-05-15,50-64,61.0907868879396,1275,AZ,0.54338705161053
2022-08-15,50-64,73.8625348164441,1450,AZ,0.54338705161053
2022-11-15,50-64,79.024368310773,1524,AZ,0.54338705161053
2022-02-15,65+,40.4097245685168,568,AZ,0.404097245685168
2022-05-15,65+,45.8112990518302,636,AZ,0.404097245685168
2022-08-15,65+,61.1771492836198,785,AZ,0.404097245685168
2022-11-15,65+,69.2802972638863,886,AZ,0.404097245685168
2022-02-15,18-49,67.0968518982692,13,AR,0.670968518982692
2022-05-15,18-49,89.3954186526082,31,AR,0.670968518982692
2022-08-15,18-49,92.6441880928949,19,AR,0.670968518982692
2022-11-15,18-49,93.1786770955256,23,AR,0.670968518982692
2022-02-15,50-64,57.1852602880448,28,AR,0.571852602880448
2022-05-15,50-64,76.2107488713026,31,AR,0.571852602880448
2022-08-15,50-64,71.3789156597267,27,AR,0.571852602880448
2022-11-15,50-64,72.6819985522536,28,AR,0.571852602880448
2022-02-15,65+,41.4039867337843,11,AR,0.414039867337843
2022-05-15,65+,58.4438766786103,18,AR,0.414039867337843
2022-08-15,65+,58.9965926175201,19,AR,0.414039867337843
2022-11-15,65+,69.6188937687909,17,AR,0.414039867337843
2022-02-15,18-49,54.8218050097666,1421,CA,0.548218050097666
2022-05-15,18-49,62.6374237360994,1643,CA,0.548218050097666
2022-08-15,18-49,77.1629260316044,2059,CA,0.548218050097666
2022-11-15,18-49,82.7215938184491,2149,CA,0.548218050097666
2022-02-15,50-64,48.5571727116043,1463,CA,0.485571727116043
2022-05-15,50-64,57.2097429277894,1769,CA,0.485571727116043
2022-08-15,50-64,71.4806074798432,2301,CA,0.485571727116043
2022-11-15,50-64,75.4767244819916,2498,CA,0.485571727116043
2022-02-15,65+,34.9534340144745,640,CA,0.349534340144745
2022-05-15,65+,46.8330734853457,840,CA,0.349534340144745
2022-08-15,65+,65.7975859438063,1313,CA,0.349534340144745
2022-11-15,65+,73.762959358399,1501,CA,0.349534340144745
2022-02-15,18-49,49.8636503344837,961,CO,0.498636503344837
2022-05-15,18-49,61.5932430377813,1109,CO,0.498636503344837
2022-08-15,18-49,74.336151942536,1256,CO,0.498636503344837
2022-11-15,18-49,83.009540152571,1257,CO,0.498636503344837
2022-02-15,50-64,43.1991212908501,891,CO,0.431991212908501
2022-05-15,50-64,52.6731380866403,1024,CO,0.431991212908501
2022-08-15,50-64,67.2162692239044,1244,CO,0.431991212908501
2022-11-15,50-64,73.4859115236973,1284,CO,0.431991212908501
2022-02-15,65+,29.7105230451106,377,CO,0.297105230451106
2022-05-15,65+,37.7310472339208,484,CO,0.297105230451106
2022-08-15,65+,52.1842993466374,661,CO,0.297105230451106
2022-11-15,65+,61.0567069764582,702,CO,0.297105230451106
2022-02-15,18-49,46.2483951305596,137,CT,0.462483951305596
2022-05-15,18-49,57.8172446420419,141,CT,0.462483951305596
2022-08-15,18-49,69.9525988737737,173,CT,0.462483951305596
2022-11-15,18-49,77.564882868722,183,CT,0.462483951305596
2022-02-15,50-64,41.970983370667,235,CT,0.41970983370667
2022-05-15,50-64,56.159201692429,302,CT,0.41970983370667
2022-08-15,50-64,70.341448521568,350,CT,0.41970983370667
2022-11-15,50-64,73.7494356482227,402,CT,0.41970983370667
2022-02-15,65+,32.5087186092379,91,CT,0.325087186092379
2022-05-15,65+,40.6900426015094,117,CT,0.325087186092379
2022-08-15,65+,54.4438546749148,170,CT,0.325087186092379
2022-11-15,65+,69.7241021001713,228,CT,0.325087186092379
2022-02-15,18-49,,2,DE,0.593437462545916
2022-05-15,18-49,,1,DE,0.593437462545916
2022-08-15,18-49,,1,DE,0.593437462545916
2022-02-15,50-64,,0,DE,0.461696942376865
2022-05-15,50-64,61.54312908102,3,DE,0.461696942376865
2022-08-15,50-64,52.0747086407868,4,DE,0.461696942376865
2022-02-15,65+,,0,DE,0.295538223171254
2022-05-15,65+,28.467275341081,1,DE,0.295538223171254
2022-08-15,65+,,0,DE,0.295538223171254
2022-02-15,18-49,63.4492005188535,2,FL,0.634492005188535
