"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location"
"0-17",1,-13.5726117019045,-0.0572421402080909,0.0138182131127998,-0.000287944785636277,0.000416784597621334,-0.000149839998898386,6.37357290595864e-06,4.35207102200505e-05,-7.23669639697101e-05,0.000102735880012457,-8.23971056224875e-05,9.17401668620535e-06,1.68458378353018e-05,1.10412719951249e-05,4.29862940364646e-05,-0.00021712212436743,0.000319137189815226,-0.000250180138651072,0.000123014819356365,-3.26402783804928e-05,2.77539539624375e-06,-1.36738837476578e-06,-1.8338532629315e-05,2.25989723907106e-05,-7.32050527469814e-07,-5.7097501190621e-06,2.62888731781609e-06,-2.58949194580166e-05,1.07299171167588e-05,0.000134853781306623,-0.000242923506513662,0.000170830571647173,-6.00476061619456e-05,1.21325578882543e-05,-6.5719786207318e-07,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,507.5,531.666666666667,555.833333333333,604.166666666667,628.333333333333,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333
"18-49",1,-8.04377125883115,0.133918469256115,-0.00247437808251627,8.82154002639361e-06,1.02664609989158e-05,2.65776565817237e-05,-0.000116992825756166,9.68957890265238e-05,-2.04469568129173e-05,-1.24176460572165e-05,1.02703316761624e-05,-1.39308548696258e-06,-1.52444750685289e-05,1.76932726653927e-05,-4.87005612607922e-06,9.24508846131482e-06,-3.768574756257e-06,-3.55990092667318e-05,5.04876280571426e-05,-1.96895802344364e-05,4.55946727445065e-06,-3.51300285139932e-05,1.28285314313876e-05,0.000142982596971599,-0.000246125348359177,0.00016792513058887,-5.78917522994245e-05,1.16576684944779e-05,-6.39997768766844e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,314.166666666667,338.333333333333,362.5,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1
"50-64",1,-8.16254346071713,0.176804335216058,-0.00423413709037757,3.35317872077087e-05,-7.61613926445174e-06,-8.66234761682041e-05,9.12377406046997e-05,-2.62378571015615e-05,-1.30385884750199e-05,1.59734928699191e-05,-5.74837960890299e-06,-4.32112632557053e-05,0.00014029508300708,-0.000315244250329689,0.000457492174693081,-0.000300505645574574,2.15729934703305e-05,4.68896067471335e-05,-8.76753722077024e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.46334935202186,0.281375070224014,-0.00765098195045248,9.15403484879271e-05,-8.89100773090261e-05,6.81651162740666e-07,-1.02109299873958e-05,5.16323581679165e-06,5.31250612266407e-05,-0.000231083029003253,0.000375931123106745,-0.00019650111245757,-9.17268481662344e-05,0.000131277881942225,-4.72366311384933e-05,7.94954137954167e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6845070649936,-0.013680724413057,0.00278077078137226,-2.82818710899159e-05,6.27158020308468e-06,3.15113809607338e-05,-1.64823599876529e-05,2.33808009878962e-06,5.64568000759734e-05,-9.83879823404789e-05,5.53859470606739e-05,-8.91483361045215e-06,1.17929082137019e-05,3.17191753659894e-05,-0.000185193134924705,0.000304718070642589,-0.000283461959212795,0.000179357358193991,-6.40906245027479e-05,4.80123520601232e-06,-7.8959031381689e-07,1.64287363918701e-06,-2.17721112370252e-05,8.91261753889071e-06,0.000115146668503643,-0.000192640264621778,0.000110405479770803,-2.12586209486688e-05,8.09709788604625e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,604.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"18-49",2,-12.2614919865771,-0.257629089232467,0.0332511627370289,-0.00063487691061719,0.000854891728986524,-0.000309752629503483,0.000190818430809214,-0.00019505618866664,0.000130183232935042,-3.39867665985995e-05,1.97993024896004e-06,-1.05838050519753e-05,8.19343275752087e-06,-1.02999245071495e-06,-1.18381824801713e-05,1.69744418501399e-05,-7.1798786753212e-06,1.00288128304702e-05,-3.77439891976599e-06,-3.4078407996168e-05,4.52290922778396e-05,-1.54822873665121e-05,-1.87225390027256e-05,6.87050824488366e-06,9.4680237436954e-05,-0.000155589266705035,8.82059699554777e-05,-1.67609126451974e-05,6.53677790897824e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,217.5,265.833333333333,362.5,386.666666666667,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"50-64",2,-12.0637431375629,-0.210076959600467,0.0294216257722684,-0.00056376158496774,0.000760075703712313,-0.000272930744655054,0.000156701696504768,-0.000161908507932386,0.000122980454462493,-4.04240303758195e-05,1.93514345308986e-06,-8.27493665634889e-06,6.90301298178037e-06,-1.01256185093222e-05,6.53888639620661e-06,5.74665538528177e-05,-0.000146328162328705,0.000159033515016729,-0.000121740353214201,0.000122861652981993,-0.000139814438628554,0.000110129485571347,-1.47550694682329e-05,-8.3409622960036e-05,8.50047231506308e-05,-2.57440186523151e-05,1.40910751589989e-06,-5.80904566190311e-06,-4.04598795059978e-05,0.000162888680243962,-0.000223079811947719,0.00014567815099391,-5.07692316909622e-05,1.03144700372704e-05,-5.84592854926626e-07,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,217.5,265.833333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333
"65+",2,-12.478988495067,-0.026798661684894,0.0109184821260654,-0.00018031781567667,0.000188162609938298,-1.73169857841364e-06,-5.58275258016052e-06,-2.83216056909612e-06,5.87045768189942e-06,-1.56695636115311e-05,9.75949615929871e-06,7.84198598542035e-05,-0.000221871541960818,0.000257513746291268,-0.000175366795091726,0.000135435409729864,-0.00014793359130429,0.000120072874927927,-1.70345494193964e-05,-0.000101121039010108,0.000114188466894874,-4.0627091830488e-05,1.92773431778876e-06,-4.88483261367932e-06,9.98974417175175e-06,1.66897171870511e-05,-0.0001529799192393,0.000350056814813342,-0.000387236249905764,0.000231440930676641,-7.96482883588026e-05,1.62879742960242e-05,-9.7554555957943e-07,0,0,24.1666666666667,48.3333333333333,145,217.5,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1
"0-17",3,-14.8075771174661,-0.00235430523257139,2.49182402301177e-05,-6.7647437843447e-08,-5.88034580963424e-07,3.13755854010643e-06,7.92263416177643e-06,-7.21664620454371e-05,0.000235184167674283,-0.000327033517229405,9.90335369624424e-05,0.000157392820343115,-0.000113299470035797,6.76795409684777e-06,6.31837578741602e-05,-0.000175010118240348,0.000204970160765192,-0.000119728223769385,1.29766768738929e-05,5.87168027524587e-05,-5.46775747585254e-05,2.91149933484644e-06,3.93694936964884e-05,-4.77017642191414e-05,2.36122996626584e-05,-3.86579348949071e-05,1.416334581924e-05,0.000158841909851498,-0.000275958618698231,0.00019072326338614,-6.6759835187514e-05,1.34733951632291e-05,-7.29939076124981e-07,0,0,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,676.666666666667,700.833333333333,725,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1
"18-49",3,-14.9204493638986,0.00570464038740314,-8.98776929605383e-05,3.51407021877209e-07,1.30034605302287e-07,-1.40504342732217e-06,-2.04135936462688e-05,0.000113377619316724,-0.000166628596044283,1.93580046903984e-05,0.000148319450201026,-0.000141114387044008,5.17328338197795e-05,-6.05529785152234e-07,-3.78126460744084e-06,6.89292427709559e-07,1.23738201680953e-05,-2.92149660464813e-05,1.82096739823017e-05,-2.46848083081144e-05,9.24387642251516e-06,0.000114760115949871,-0.000186768504846191,0.00010548797100063,-2.01948156671137e-05,7.74141662527639e-07,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
