"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location"
"0-17",1,-14.8513865387994,0.277627336849523,-0.0044945696256016,3.0539845714973e-06,7.43815358157855e-05,-8.64141800713919e-05,1.32560793319078e-06,1.0214168666572e-06,5.15042489894039e-05,-6.75444363559312e-05,7.32840715848868e-06,2.1676621428909e-05,9.07268254734448e-06,3.28358018673431e-05,-0.000194763017010102,0.00028979673932757,-0.00021978935470967,9.41450842806045e-05,-7.75273789490668e-06,-1.02216910355668e-05,-4.07245340116893e-06,1.51034876495876e-06,1.85543948830592e-05,-2.02533018095044e-05,5.33047209213114e-06,-2.31100044089092e-05,9.22650742632565e-06,0.000117057121226677,-0.000193237203646175,0.000108959623262377,-2.04219573716607e-05,7.96526212374221e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,580,604.166666666667,628.333333333333,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"18-49",1,-8.61996695336425,0.200395491251267,-0.00503960652177726,3.96686160583334e-05,-8.23047195108787e-06,-9.54813196750088e-05,8.97110175082903e-05,-2.1505521183194e-05,-7.76347807829082e-07,-3.16000043480112e-05,5.17596071364479e-05,-2.58482524657244e-05,9.85226251780339e-07,1.56514629902351e-05,-1.71386421324252e-05,1.41773878641069e-05,-2.14079521620345e-05,6.36719465448587e-06,3.62551458051118e-05,-8.44533107521411e-05,7.75122269212585e-05,-2.56056789784089e-05,1.82926686507123e-06,-7.71545102568049e-06,-5.35953363912279e-05,0.000222055829997065,-0.000305251339839423,0.000197952927364009,-6.84021869170865e-05,1.38809222077416e-05,-7.92896864259274e-07,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.05439886519449,0.369891391381288,-0.0147404748265153,0.000197775918083525,-0.000187508264173724,-5.04199113056606e-05,6.07876673934356e-05,-1.64782812104594e-05,-4.12248365316635e-05,7.94970451789847e-05,-5.85224102986782e-05,1.0139906860583e-05,1.81509614233322e-05,-5.35006808118382e-05,0.000129647946140109,-0.000260474857337157,0.000336831474433731,-0.000145180251871024,-0.000125996592803571,0.00016398411932705,-7.97106577552564e-05,2.66192573541007e-05,-4.41772998957934e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.60644589367774,0.185030254482484,-0.00197378339242806,6.16293787376041e-06,-5.98327511522312e-07,1.82431408368836e-07,-2.97612735458412e-06,-5.22291279250829e-05,0.00014095229680118,-0.000140867441732459,-0.000129313938854651,0.000567367029831766,-0.000691014013453167,0.000430263936093557,-0.000176825817069459,6.06061775684627e-05,-1.26216461421316e-05,9.1147060864032e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.5494197252884,-0.1245110202499,0.00839178617503916,-9.25289927752191e-05,1.66996898085397e-05,0.000145713556873088,-7.90789623219964e-05,1.68939282008639e-06,1.69043578656804e-06,6.37128267647658e-05,-0.000111744827983005,6.46437413473813e-05,-9.62489137496914e-06,1.18003717024198e-05,2.90271095841614e-05,-0.000183010592251552,0.000297606232745135,-0.000264998268076468,0.00015803011988382,-5.44500954667378e-05,5.83989359233709e-06,-1.56344434616884e-06,-1.93865161143923e-06,3.10767207338892e-06,-9.51995252254069e-06,4.13480427827103e-06,7.97973595240809e-05,-0.000142802077532421,8.15800531699877e-05,-1.44149817348685e-05,6.0042182766872e-07,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,604.166666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.559802722677,-0.265510796340132,0.0375478532465761,-0.000716996916867725,0.000934852234575012,-0.000232279537720295,1.07516010097015e-05,-2.51377943988893e-06,1.48608569156831e-05,-2.09281854374147e-06,-2.27324851884324e-05,1.73287946060193e-05,-7.90504171786012e-07,-1.16305804160516e-05,1.79080687873907e-05,-8.08629237748475e-06,1.21316185233865e-05,-4.5800083902081e-06,-4.23811233886444e-05,5.70547748938614e-05,-2.018629547861e-05,-7.67727403132547e-07,-7.80754280695629e-06,-2.97877982696409e-05,0.000161767761261533,-0.000237319799964469,0.000157058639174892,-5.40714806066933e-05,1.09244721293785e-05,-6.12443633053931e-07,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,193.333333333333,217.5,241.666666666667,362.5,386.666666666667,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.6532552992574,-0.253457192681987,0.0373372211349936,-0.000715668919853223,0.000938390261471657,-0.00024131866294559,1.23850789907776e-05,-3.59890345004059e-06,1.58494879935403e-05,-1.25356563735438e-06,-1.74463262730308e-05,1.32363527570566e-05,-8.96695551988089e-06,6.26920246969422e-06,6.03044486046707e-05,-0.000153814584434963,0.000168272301203432,-0.000131931872767621,0.000134888642614104,-0.00015233296955387,0.000120461092766415,-1.66464627429873e-05,-9.88467235542077e-05,0.00010749875341982,-3.57951737326923e-05,3.95823486484474e-07,-2.78525386689438e-06,-3.58415034540502e-05,0.000139149952500018,-0.000178174896274511,9.4419297811441e-05,-1.78490747693633e-05,7.48425339690717e-07,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"65+",2,-14.0641267894707,-0.307038590607338,0.0364199798204621,-0.000653840325955443,0.000813557023271672,-0.0001840834969086,3.04287465071593e-05,-1.96037897318253e-06,-2.10744516076964e-05,2.51414907832275e-05,-3.45475251931044e-06,-2.10468889078555e-05,2.20340056098061e-05,-1.94351945670775e-05,9.92905427231251e-06,8.43677316959013e-05,-0.00022799021927472,0.00025439352655575,-0.000164508605011179,0.000119537328371992,-0.000112305768746067,3.63767202311019e-05,0.000169929099527914,-0.000526936081202294,0.00079512961695741,-0.000633288807568657,0.00024462081071368,-4.32482174613116e-05,1.04749752565506e-05,-3.28443610814157e-06,5.3671600109742e-07,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,217.5,241.666666666667,265.833333333333,290,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.7678961604346,0.00309927143217286,-2.40700847709659e-05,9.6460158007818e-09,8.07301762005617e-08,-1.14716353042447e-06,-2.1282603858962e-05,0.000137617067072672,-0.000217075276131978,2.09675885225777e-05,0.000189727122815311,-0.000120801539803344,5.73061230448248e-06,5.25752702738454e-05,-0.000128926525599627,0.000125600344016845,-1.65289669264234e-05,-0.00010188041090705,0.000163280691455604,-0.000137613574464914,5.43385098788005e-05,-2.58185969630449e-06,-3.43133777114424e-06,-3.04295041867312e-06,-3.86328555779794e-05,0.000174022976567895,-0.000233936549378216,0.000125539841903599,-2.35981262398066e-05,9.85746104205376e-07,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9138744363023,0.00542318124494477,-8.54594177608449e-05,3.34277431558406e-07,1.22636356246418e-07,-1.32509655044588e-06,-1.93146294608225e-05,0.000106547944627404,-0.000155341632850056,1.79030317096738e-05,0.000135374727462236,-0.000128717440818679,4.8133634089817e-05,-5.45315552124638e-07,-3.99536232382901e-06,1.51399334295049e-06,3.09667579028278e-05,-9.45469677080838e-05,9.55574418505822e-05,-3.27648094978888e-05,1.56944671287869e-06,-6.04297638079057e-06,-3.9452085373076e-05,0.000162096901768626,-0.000207830142916152,0.000109453306055546,-2.05487207019094e-05,8.47934134943611e-07,0,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
