"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location"
"0-17",1,-14.4730013631266,0.0910040010613798,0.00304398549109615,-0.000112961834076101,0.000223857943431435,-0.00013499901599923,6.54039761976336e-06,6.43724146088602e-05,-0.000109355567308231,0.000144570091760479,-0.000140744203646145,6.98501813886882e-05,-1.00179943408905e-05,1.0855278847634e-05,3.12780120150871e-05,-0.000160589133795441,0.000226548809492115,-0.00017687276530893,9.8838291752776e-05,-3.30096746354521e-05,1.6921022853259e-06,-3.57736356430441e-06,1.55708424594753e-06,1.79533573459385e-05,-2.07774816203853e-05,5.61474062801562e-06,-2.50589280475956e-05,1.06533348886398e-05,0.000133885352063933,-0.000241585756452791,0.000169750160194448,-5.966848461127e-05,1.2055443864412e-05,-6.52878646464303e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,580,604.166666666667,628.333333333333,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1
"18-49",1,-8.54016093030491,0.171959774548627,-0.00611348565000962,6.03735173936823e-05,-7.01734622759607e-06,-7.38303874517359e-05,4.16368053370045e-06,6.6187045670569e-05,-8.85805024833609e-05,7.65778155412152e-05,-6.07907007256439e-05,7.45508766717939e-06,3.72329886982154e-05,-2.30792062129169e-05,4.01299535435611e-07,4.82424744219976e-06,-4.03478549216563e-06,-3.19097384893044e-07,1.49143112496262e-06,4.32588908694874e-06,-4.12092017214484e-05,1.75091697778322e-05,0.000169188362511958,-0.000299707425906239,0.000207147731339723,-7.20231961094152e-05,1.44984784388763e-05,-7.82594547651269e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,725,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.24783496510423,0.140521955392752,-0.00361152482312657,2.63215931895654e-05,9.0672027450983e-06,-1.09650760402016e-05,-0.000125730458890656,0.00018617244184755,-0.00010391485183076,9.53567532595633e-06,4.20054314749139e-05,-5.92513352516433e-05,7.03134429413945e-06,5.204147535803e-05,-3.60817344228035e-05,5.58994392864964e-06,5.35748444554229e-06,-3.00320000154953e-05,2.95649529761933e-05,-2.03594267406878e-06,-2.5660351604239e-05,3.83519564199711e-05,-4.03372956624771e-06,-4.54421520999171e-05,4.24067289692579e-05,-2.69085207147131e-06,-9.9437192269184e-06,8.98500717918814e-06,-4.0691936679375e-05,1.40552397947683e-05,0.000156195491643317,-0.000268304095524237,0.000183860209394458,-6.39575699652412e-05,1.2898913707745e-05,-7.0325259466288e-07,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,362.5,410.833333333333,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1
"65+",1,-9.30505921503961,0.237823281856835,-0.000328398986610052,-7.47180548981499e-05,0.000170295949749406,-0.000119895075698893,2.81032354885915e-05,-7.55464731831046e-07,-1.72115625701246e-06,-4.83411262673554e-05,0.000109486138040173,-7.90586644574845e-05,8.85863000095684e-06,7.02435787800148e-05,-0.0002230824863014,0.000342845023750861,-0.000227140066972859,1.58894471719572e-05,3.49894377659011e-05,-5.99947312957853e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6669933172649,-0.076133350545201,0.00502913129192365,-5.86306499831561e-05,1.41730437130426e-05,0.000109084199521273,-8.47842861321108e-05,5.33301042585889e-06,5.42780046334176e-05,-8.89792845375701e-05,0.000123592569791257,-0.000134596766410604,7.38080716662069e-05,-9.5518133774036e-06,1.0020669997917e-05,1.68482406941643e-05,-0.000137599693870645,0.00022221232412118,-0.000202024623300524,0.000134556516047301,-5.21649689584632e-05,2.37434695429764e-06,2.17426227214235e-06,3.37786237655493e-06,-2.11117075942427e-06,-4.88960465616412e-05,9.43857132178524e-05,-1.13432794354946e-05,-8.54915767365023e-05,5.9786857910599e-05,-9.83355746729315e-06,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,531.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.5094782766259,0.179631336526279,0.00512621925287331,-0.000156020476561034,0.000224267300950724,-1.21919290682671e-05,-0.000105013111228274,4.87779960740115e-05,7.85744101447747e-06,-2.32789935390736e-05,4.11186879362361e-06,2.92475765311856e-05,-1.87482108739279e-05,3.20926151637749e-06,-2.28121097494991e-06,6.35951927108695e-07,1.29373564848594e-05,-8.30591244373466e-05,0.000130079600655139,-1.41249524432938e-05,-0.000111538661240889,7.92597870906548e-05,-1.42236344045481e-05,9.35191188553942e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.8762516296602,0.183025168311418,0.00322531634794607,-0.00010782338916896,0.000142303132429042,4.48444477398819e-05,-0.000155651099775617,8.75545470898046e-05,-6.45592909903522e-06,-1.84278859685949e-05,2.4425745004892e-06,2.8838947784053e-05,-1.88867733057995e-05,1.11658676805334e-06,2.27314475372465e-05,-5.39364251506752e-05,3.81926740666257e-05,-2.33785797059092e-06,-2.03543776045422e-05,2.6922874785304e-05,-2.67804360349781e-05,3.91159770615008e-06,3.07108982557219e-05,-2.09247477259899e-05,1.56807076570551e-06,2.06048249172175e-05,-8.6719537174049e-05,0.00011887984450049,-1.35371337164066e-05,-9.23004061514626e-05,6.44597284189512e-05,-1.09485823183992e-05,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.7000271227907,0.235740067801358,0.00139477697471672,-5.20037359153323e-05,1.95706413311507e-05,0.000135004117114229,-0.000174059574855812,0.00011662509689085,-5.6248501702324e-05,7.1348702057498e-06,1.39752040079555e-05,-3.56331362799312e-05,3.06652098688601e-05,-5.47125068816935e-06,2.71630678316266e-06,4.3998619443749e-05,-0.000155867025489753,0.000205125518734244,-0.000159943841173672,0.000139884948228938,-0.000162038748567105,0.000155606535939993,-7.63122335175904e-05,-3.94192507675361e-05,6.80875908199597e-05,-4.56225649333217e-06,-3.14290496835189e-05,1.67466560563606e-05,1.86914610211285e-06,-8.25785091158745e-06,-6.90720666825978e-05,0.00024275981427945,-0.000309732045407149,0.000194295743768602,-6.68114742275612e-05,1.35904880549992e-05,-7.92422574465588e-07,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,217.5,241.666666666667,290,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1
"0-17",3,-14.0394309359033,-0.00193674784708529,2.08031722779852e-05,-5.74810488834059e-08,8.59864895773047e-07,8.12807275864145e-06,-5.65243246894521e-05,0.000183960580747377,-0.000246056455828804,2.58600484172334e-05,0.000221166676427041,-0.000192397181120079,6.91077089290285e-05,-5.50957720870815e-06,-5.84985689787587e-05,9.71337773739227e-05,-6.79920267353227e-05,8.01016748423093e-06,5.40714890945136e-05,-5.77742988001065e-05,3.3083424010317e-06,1.51579817801204e-05,-2.46402802262428e-05,8.66376249929643e-06,0.000108717618326372,-0.000175091720749172,9.8616275454783e-05,-1.89509717213539e-05,7.27446140421589e-07,0,0,0,0,0,0,0,0,0,0,0,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.8200684211052,-0.00506242122253066,0.000102582448956836,-5.68124162782116e-07,2.77141725810874e-07,-9.88636264777053e-07,3.18061307508355e-06,9.85106625387869e-06,-6.37160896702706e-05,0.000181100476152193,-0.000226600919781542,2.55686713171688e-05,0.000206586643700714,-0.000204547839486211,7.55107649205086e-05,-2.47131912795734e-06,-4.03582419164405e-06,7.57514419572807e-07,1.46745842666758e-05,-3.11657054562103e-05,1.76307511141043e-05,-2.3313195757889e-05,9.59663027946432e-06,0.000118329936841912,-0.000213788966957298,0.000152211678246194,-5.45383348354344e-05,1.10483989078002e-05,-5.88133406885851e-07,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
