"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location"
"0-17",1,-15.062502027802,0.174050046195778,0.00572650933725213,-0.000188814705155431,0.000292284842403372,-0.000282993265277687,0.000313408066937517,-0.000237057226566371,0.000142860418355339,-6.43715624821568e-05,1.26962688023842e-05,1.09536297804619e-05,1.42051025633059e-05,6.01940245510753e-05,-0.000260672430128417,0.000346365226635268,-0.000217479539390723,6.62996295168058e-05,-6.37187527182889e-06,1.45557744729551e-06,-2.18302787571319e-05,5.68902623850855e-06,4.01255970073757e-05,-2.93619500258195e-05,4.76929873859256e-06,-1.43114955143116e-05,5.27868683747525e-06,9.24399881300223e-05,-0.000162500609864407,9.33090920082824e-05,-1.72573871831107e-05,6.85198207019392e-07,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,580,604.166666666667,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1
"18-49",1,-8.08288446990441,0.201438160961942,-0.00576551785390402,4.60362458449491e-05,-7.89031173880683e-06,-0.000101481304824921,6.60548077020272e-05,2.53632554927939e-05,-3.33972358277533e-05,7.81013053253752e-07,6.34201329076991e-06,-5.49058815765629e-06,1.38809250150315e-06,1.99774270215991e-05,-1.99212912770811e-05,4.72997358591705e-06,-1.96183620395842e-05,5.27919263450705e-06,3.82762961633408e-05,-2.91975488782175e-05,5.85897201351991e-06,-8.84418058093293e-07,-8.66692801657512e-06,6.45985882904323e-06,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,145,169.166666666667,217.5,241.666666666667,314.166666666667,386.666666666667,410.833333333333,435,531.666666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.86233894248265,0.276391003147928,-0.00791602016452408,6.57895819946291e-05,-1.2912587573438e-05,-0.000181596805744789,0.000194293137743304,-6.57525766522774e-05,5.03059150718188e-06,-2.7518965083261e-06,-2.58743012338797e-05,3.65278415394936e-05,-3.20265749070017e-06,-0.000119775043937553,0.000169380347082207,0.000102448136475163,-0.000354915676182323,0.000270430275841625,-9.44551271876849e-05,1.820867606583e-05,-8.71570151402416e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.84412282676987,0.210543061227468,-0.00577565514145996,6.86408968596678e-05,-3.72674587937747e-05,-0.000122911250558219,0.000237136394419352,-0.00039211424104221,0.000563894953986419,-0.000470843071441954,0.000164592884056635,-1.47418574581051e-05,4.28198493209783e-06,-6.69115418078059e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6993926457522,0.00435308040080489,-3.49497388207014e-05,2.56905839526907e-08,9.87193281946489e-08,-1.42319741087186e-06,-2.87165427478812e-05,0.000175437615822852,-0.000275878073687164,3.00481913376314e-05,0.000264312583572462,-0.000226629988393917,8.0154828712705e-05,-3.94789410740663e-06,-3.92997420651219e-06,-7.72832767459675e-05,0.000115979673802849,-5.0151775188129e-05,4.7511294320777e-07,3.0690774915856e-06,-3.09436465383116e-05,1.13434724022645e-05,0.000145349017109934,-0.000235114623981507,0.000131572573480762,-2.48208136000514e-05,9.69326051392868e-07,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,604.166666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"18-49",2,-14.8585821611524,0.00672931798838422,-7.85631030098526e-05,-1.63423377070519e-07,7.06912186827636e-07,-1.30078457683619e-06,-2.44886380767037e-05,0.00012226855189314,-0.000172889614647109,2.1005465244102e-05,0.000165444239840588,-0.000200835983121805,0.000121624308014175,-3.00385518729821e-05,1.4429238931112e-06,-3.47989041262188e-06,1.70055488503161e-06,3.42790821694356e-05,-0.00010761572274772,0.000108256239542548,-3.52504091410875e-05,5.01104592999245e-07,-9.78604723872779e-06,3.94457230817421e-06,7.06587329913542e-05,-0.000124953685553832,7.0844547564459e-05,-1.23930481652572e-05,5.16818710544009e-07,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1
"50-64",2,-14.9051795301933,0.00732803239486941,-8.51962395960522e-05,-1.85618268376856e-07,7.79010108074073e-07,-1.43921241762187e-06,-2.72502413598863e-05,0.000139459181678889,-0.000202306933266087,2.615802535529e-05,0.00020836395291928,-0.00027653103616151,0.000195149944332571,-6.55738263015606e-05,4.44266071911355e-06,4.22141693292807e-05,-0.000121022160841953,9.92627413675102e-05,-9.00821639206303e-06,6.94637701242454e-06,-5.30017136804872e-05,2.34310971146801e-05,0.000125088712924355,-0.000315112900403099,0.000408516008994052,-0.000522541364351693,0.000716476642778782,-0.000621465514019268,0.000256288761496951,-4.50711805224541e-05,1.07582251684972e-05,-3.38179710623255e-06,5.55176471290988e-07,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333
"65+",2,-14.5110921278459,-0.00557919835472321,6.8873056378218e-05,1.01141603905958e-07,-2.7067922350608e-06,5.90292025109891e-06,-1.05618201406221e-05,1.67903559672332e-05,-7.55795177114721e-05,0.000233417130498516,-0.000314518933606028,0.000158526268023433,-7.24667042288183e-06,3.47176237417424e-06,-6.2048954948665e-06,1.04137257898852e-05,-1.90958198975762e-05,-7.83861561152843e-06,0.000152797514151484,-0.00058328952154876,0.00106353073488967,-0.00101644551705057,0.00053104197042484,-0.000167849846655624,4.32435361074302e-05,-1.0711008904612e-05,3.35586103114373e-06,-5.43240250089655e-07,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,-1,-1,-1,-1,-1
"0-17",3,-14.6993926457522,0.00435308040080489,-3.49497388207014e-05,2.56905839526907e-08,9.87193281946489e-08,-1.42319741087186e-06,-2.87165427478812e-05,0.000175437615822852,-0.000275878073687164,3.00481913376314e-05,0.000264312583572462,-0.000226629988393917,8.0154828712705e-05,-3.94789410740663e-06,-3.92997420651219e-06,-7.72832767459675e-05,0.000115979673802849,-5.0151775188129e-05,4.7511294320777e-07,3.0690774915856e-06,-3.09436465383116e-05,1.13434724022645e-05,0.000145349017109934,-0.000235114623981507,0.000131572573480762,-2.48208136000514e-05,9.69326051392868e-07,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,604.166666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1
"18-49",3,-14.8585821611524,0.00672931798838422,-7.85631030098526e-05,-1.63423377070519e-07,7.06912186827636e-07,-1.30078457683619e-06,-2.44886380767037e-05,0.00012226855189314,-0.000172889614647109,2.1005465244102e-05,0.000165444239840588,-0.000200835983121805,0.000121624308014175,-3.00385518729821e-05,1.4429238931112e-06,-3.47989041262188e-06,1.70055488503161e-06,3.42790821694356e-05,-0.00010761572274772,0.000108256239542548,-3.52504091410875e-05,5.01104592999245e-07,-9.78604723872779e-06,3.94457230817421e-06,7.06587329913542e-05,-0.000124953685553832,7.0844547564459e-05,-1.23930481652572e-05,5.16818710544009e-07,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1
