"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location"
"0-17",1,-15.0671257784241,0.31583445858727,-0.00811581950046872,7.71129441379262e-05,-5.22678484074277e-05,5.51376941429669e-06,-8.81621640356594e-06,-0.000103040691716192,9.96576227241348e-05,-3.44360412045935e-06,-2.11584203432003e-05,-3.34956916448736e-06,1.11972892294542e-05,9.11785495579751e-05,-0.000282593354012251,0.00034460918529035,-0.000210492096726888,6.28402052427596e-05,-6.31340831532605e-06,1.43949698427437e-06,-1.32606642721192e-05,3.36947186996635e-06,2.18943428247222e-05,-1.50144927537986e-05,2.68731410846789e-06,-2.77376022004695e-05,1.03092226226081e-05,0.000125619826014016,-0.000202332937445135,0.000112656016527401,-2.10920111203993e-05,8.24347707386246e-07,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,580,604.166666666667,725,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1
"18-49",1,-7.86744977216215,0.158480510678506,-0.00429256011792574,3.1794362531736e-05,-2.14234681235417e-06,-6.51764001552402e-05,6.94496555752319e-06,6.12899518001098e-05,-2.89072006977472e-05,-3.05387566481069e-05,3.84042379036118e-05,-2.72721477013861e-06,-1.17685312144864e-05,8.55135922698174e-07,1.67942682694533e-05,-1.77205168739192e-05,4.06727004764487e-06,-7.37688442140673e-07,-1.03842561762242e-05,1.15807506156825e-05,-2.82951729592412e-05,1.00826707906433e-05,0.00012792313743937,-0.000203695610469169,0.000112318340220187,-2.07911936406114e-05,8.26597029950104e-07,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,265.833333333333,290,386.666666666667,410.833333333333,435,507.5,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.79804032562236,0.395795235637165,-0.0180425635471152,0.000259122571232034,-0.000283078747622763,0.000115481080105378,-0.000275835448774054,0.000338226333135892,-0.000217576245912729,7.97350139909e-05,-2.89497999119451e-05,4.24080092998162e-06,4.80343160775952e-05,-7.21346719336886e-05,3.4445816023729e-05,-3.75907441236444e-06,8.81179677218447e-06,4.08473759073808e-06,-0.000117569258581255,0.000340676133603289,-0.000436701878414001,0.000294487659107368,-0.000126890182575332,4.28988846844753e-05,-7.87737010904726e-06,1.27335668956e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,265.833333333333,290,314.166666666667,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.8806201758964,0.592124242135583,-0.0263526317065969,0.000408677398471854,-0.000483761848605193,8.99569606909105e-05,-3.26131503084213e-06,-1.80689171133822e-05,4.4410936872579e-06,4.07109695045264e-05,-9.20415976057862e-05,0.000102828743863072,-0.000226297465917022,0.000512202135932324,-0.000609610180106593,0.000399969773254085,-0.000174768134753648,6.07439075982699e-05,-1.26082991993951e-05,8.86622669391255e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7571352082711,0.00289966234668527,-2.21456401157844e-05,5.00591223104487e-09,8.04329794351525e-08,-1.14251436022135e-06,-2.07911703900277e-05,0.000139571732456812,-0.000223009142878684,2.22172162221483e-05,0.000195903452693872,-0.000125337374118432,3.25593017968162e-06,3.78880934364652e-06,5.56140827604807e-05,-0.000133692385127374,0.000129708452526173,-4.86490817547705e-05,1.56489176308197e-06,2.43581994386222e-05,-4.5862129147825e-05,8.46960983679393e-06,0.000133579853073865,-0.000219261465489629,0.000120293872981194,-2.15534313355299e-05,8.83999170768334e-07,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.807615878971,0.00539302574314396,-8.50840056704545e-05,3.33594247460676e-07,1.1749526706242e-07,-1.27428657630466e-06,-1.90932663022561e-05,0.00010335669636976,-0.000149507301896376,1.77620424397785e-05,0.000133011679014771,-0.000134115518987768,5.34009522388027e-05,-5.95833052887204e-07,-4.06176965745996e-06,1.02839790353738e-06,1.6724074273778e-05,-4.25594967973695e-05,2.80692788607568e-05,-1.46560857149108e-05,5.09133818033147e-06,8.85810968114832e-05,-0.000152946812363016,8.62632373581105e-05,-1.55636745049198e-05,6.3185734540365e-07,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.8617751070673,0.00777812164058536,-9.20576990185578e-05,-1.64264092302947e-07,7.8928059332969e-07,-1.46588554739747e-06,-2.85332892505099e-05,0.000143687634712135,-0.000208249850561756,2.78180154864589e-05,0.000214049957914027,-0.000285284459906452,0.00022087403185946,-0.000121126627277812,4.87745160602481e-05,-2.08643014099961e-06,-5.64368016320643e-05,6.15211639171516e-05,-2.17196309507973e-06,-3.22744520864656e-05,8.7241856034224e-06,9.02296845281527e-05,-0.000185036713655954,0.000152546330957241,-4.76855007632174e-05,2.70638612434297e-06,-1.55871662714339e-06,-3.12998057527233e-06,-7.84474592289028e-06,-2.73938956796968e-05,0.000180656324256258,-0.000256108819078303,0.000139096932608572,-2.59690437035091e-05,1.04298297486439e-06,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,410.833333333333,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667
"65+",2,-14.9067721991527,0.00802080369128578,-9.12112267759231e-05,-2.43570485635564e-07,8.98476349631909e-07,-1.64190921766242e-06,-2.96826239991159e-05,0.000152370003411094,-0.000216604825794084,2.49422456520508e-05,0.000194506357696028,-0.000238984454274648,0.000197105364717083,-0.000110099566840216,2.5687938850174e-05,4.44179818672759e-05,-0.000135399935573889,0.000333544731400057,-0.000765923107475501,0.00110785630655754,-0.000857206474839882,0.00031742994757697,-5.340464814351e-05,1.41266732248856e-05,-4.40670844099886e-06,7.11483725564382e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.7571352082711,0.00289966234668527,-2.21456401157844e-05,5.00591223104487e-09,8.04329794351525e-08,-1.14251436022135e-06,-2.07911703900277e-05,0.000139571732456812,-0.000223009142878684,2.22172162221483e-05,0.000195903452693872,-0.000125337374118432,3.25593017968162e-06,3.78880934364652e-06,5.56140827604807e-05,-0.000133692385127374,0.000129708452526173,-4.86490817547705e-05,1.56489176308197e-06,2.43581994386222e-05,-4.5862129147825e-05,8.46960983679393e-06,0.000133579853073865,-0.000219261465489629,0.000120293872981194,-2.15534313355299e-05,8.83999170768334e-07,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.807615878971,0.00539302574314396,-8.50840056704545e-05,3.33594247460676e-07,1.1749526706242e-07,-1.27428657630466e-06,-1.90932663022561e-05,0.00010335669636976,-0.000149507301896376,1.77620424397785e-05,0.000133011679014771,-0.000134115518987768,5.34009522388027e-05,-5.95833052887204e-07,-4.06176965745996e-06,1.02839790353738e-06,1.6724074273778e-05,-4.25594967973695e-05,2.80692788607568e-05,-1.46560857149108e-05,5.09133818033147e-06,8.85810968114832e-05,-0.000152946812363016,8.62632373581105e-05,-1.55636745049198e-05,6.3185734540365e-07,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
